,nome,filtro,minucias,nfiq,nfiq2,qmap
90,s1415_08[BINA].png.min,Binary,0,5,34,0.27001953125
91,f1439_01[TOZI].png.min,Thresh to Zero Invert,126,4,16,2.079345703125
92,f1301_05[TRUC].png.min,Trunc,107,2,43,0.0576171875
93,f1339_04[BINA].png.min,Binary,63,1,48,0.608154296875
94,s1297_09[BINA].png.min,Binary,72,2,26,1.2734375
95,f1455_03[BINA].png.min,Binary,69,4,15,2.46630859375
96,s1375_02[BINV].png.min,Binary Invert,72,3,32,2.4892578125
97,s1327_08[TOZI].png.min,Thresh to Zero Invert,198,4,18,1.354248046875
98,s1393_01[BINA].png.min,Binary,124,2,31,2.347412109375
99,f1477_07.png.min,No Filter,97,3,25,3.056396484375
100,f1327_08[TZER].png.min,Thresh to Zero,49,3,51,2.4296875
101,s1279_08[TOZI].png.min,Thresh to Zero Invert,316,3,9,2.359619140625
102,s1462_09[TZER].png.min,Thresh to Zero,110,4,12,2.574462890625
103,f1488_01[BINV].png.min,Binary Invert,82,3,38,1.29345703125
104,s1372_04[TOZI].png.min,Thresh to Zero Invert,325,4,17,1.893798828125
105,f1294_07[TRUC].png.min,Trunc,162,3,38,2.9658203125
106,f1356_02[TZER].png.min,Thresh to Zero,85,3,9,2.297119140625
107,f1410_02[TZER].png.min,Thresh to Zero,99,3,11,0.94140625
108,f1341_03[TZER].png.min,Thresh to Zero,98,5,18,2.2734375
109,f1288_04[BINV].png.min,Binary Invert,88,3,34,2.817138671875
110,s1429_06[BINV].png.min,Binary Invert,98,1,53,2.04638671875
111,f1376_08[TOZI].png.min,Thresh to Zero Invert,197,4,16,1.690673828125
112,f1357_05[BINV].png.min,Binary Invert,3,2,39,1.786865234375
113,s1387_02.png.min,No Filter,91,3,12,0.77587890625
114,f1321_06[BINA].png.min,Binary,118,3,37,2.88525390625
115,f1337_02[TZER].png.min,Thresh to Zero,115,1,57,1.552978515625
116,f1456_10[TZER].png.min,Thresh to Zero,29,2,37,2.2802734375
117,s1451_06.png.min,No Filter,133,3,20,2.7275390625
118,f1336_10[TOZI].png.min,Thresh to Zero Invert,190,4,31,2.405517578125
119,s1344_09[TRUC].png.min,Trunc,104,3,29,2.19140625
120,f1388_08.png.min,No Filter,165,1,49,2.517333984375
121,s1458_04[BINA].png.min,Binary,39,2,45,2.641845703125
122,s1370_05[BINA].png.min,Binary,4,5,14,2.669921875
123,s1393_01.png.min,No Filter,165,4,45,2.992431640625
124,s1257_04[BINA].png.min,Binary,80,5,17,2.755126953125
125,f1323_03.png.min,No Filter,161,1,47,1.9384765625
126,s1275_02[TRUC].png.min,Trunc,130,2,22,2.180419921875
127,f1489_04[BINA].png.min,Binary,110,5,10,2.1201171875
128,f1287_02[BINA].png.min,Binary,50,2,22,1.76025390625
129,s1260_04[TRUC].png.min,Trunc,101,1,58,1.799560546875
130,s1396_07[BINA].png.min,Binary,72,2,34,1.14404296875
131,f1298_05.png.min,No Filter,89,3,32,2.025634765625
132,s1333_08[BINV].png.min,Binary Invert,119,3,38,1.3203125
133,s1309_05.png.min,No Filter,141,3,30,2.376953125
134,s1465_01.png.min,No Filter,111,2,57,1.79296875
135,s1359_03.png.min,No Filter,116,3,35,0.741455078125
136,s1427_10[TZER].png.min,Thresh to Zero,40,1,45,1.036376953125
137,s1435_09.png.min,No Filter,123,1,38,2.810791015625
138,f1451_06.png.min,No Filter,181,1,50,2.2001953125
139,s1390_07[BINV].png.min,Binary Invert,7,2,42,1.392333984375
140,s1327_08[BINA].png.min,Binary,71,1,52,2.810791015625
141,s1278_06[BINA].png.min,Binary,61,3,13,2.1259765625
142,f1419_05[BINA].png.min,Binary,102,3,43,0.738525390625
143,s1312_10.png.min,No Filter,143,1,57,2.19970703125
144,f1459_09[TRUC].png.min,Trunc,125,3,34,2.80908203125
145,s1284_05[TRUC].png.min,Trunc,139,4,20,3.046875
146,s1484_02[BINA].png.min,Binary,66,2,47,2.10986328125
147,f1372_04[TOZI].png.min,Thresh to Zero Invert,268,3,41,2.8291015625
148,s1276_01[BINV].png.min,Binary Invert,10,4,27,2.375732421875
