,nome,filtro,minucias,nfiq,nfiq2,qmap
747,f1264_05[TZER].png.min,Thresh to Zero,116,2,49,2.638671875
748,f1431_08[TZER].png.min,Thresh to Zero,74,1,39,2.448974609375
749,s1363_08.png.min,No Filter,185,3,23,3.113037109375
750,f1462_09[TOZI].png.min,Thresh to Zero Invert,199,2,44,2.62353515625
751,f1429_06[TZER].png.min,Thresh to Zero,40,2,52,1.456298828125
752,f1498_03[BINV].png.min,Binary Invert,88,3,1,2.52392578125
753,s1429_06[TOZI].png.min,Thresh to Zero Invert,298,1,54,1.587158203125
754,f1257_04[BINA].png.min,Binary,24,3,38,2.623046875
755,f1342_03.png.min,No Filter,144,2,33,0.684814453125
756,s1322_09[TZER].png.min,Thresh to Zero,9,2,12,1.322265625
757,f1330_03[TOZI].png.min,Thresh to Zero Invert,201,3,15,0.519287109375
758,f1415_08[BINV].png.min,Binary Invert,17,2,40,2.651123046875
759,f1352_08[BINA].png.min,Binary,86,1,40,1.8125
760,f1289_09[TZER].png.min,Thresh to Zero,92,4,25,1.975341796875
761,f1387_02[TZER].png.min,Thresh to Zero,138,1,47,0.101318359375
762,s1320_10[BINV].png.min,Binary Invert,119,3,36,2.319580078125
763,s1301_05[TZER].png.min,Thresh to Zero,80,2,32,2.764892578125
764,f1494_04[TOZI].png.min,Thresh to Zero Invert,28,5,21,2.447998046875
765,s1290_10[BINA].png.min,Binary,7,3,32,2.93701171875
766,s1326_07[BINA].png.min,Binary,81,3,50,2.036865234375
767,f1350_03[BINA].png.min,Binary,79,3,40,0.94140625
768,s1467_09[BINV].png.min,Binary Invert,88,5,16,1.308349609375
769,f1260_04[BINV].png.min,Binary Invert,8,3,33,0.890380859375
770,s1398_03[TRUC].png.min,Trunc,32,1,21,2.20361328125
771,f1497_03[TZER].png.min,Thresh to Zero,156,1,45,1.31982421875
772,f1271_08[BINA].png.min,Binary,49,1,42,3.091796875
773,s1306_08[TRUC].png.min,Trunc,75,3,17,2.13671875
774,s1323_03[TOZI].png.min,Thresh to Zero Invert,161,1,26,1.932373046875
775,f1499_01[BINV].png.min,Binary Invert,76,2,7,1.77392578125
776,s1448_10[TZER].png.min,Thresh to Zero,17,2,45,2.801025390625
777,f1325_03[BINV].png.min,Binary Invert,100,4,14,2.667724609375
778,s1365_07[BINA].png.min,Binary,78,4,11,2.584716796875
779,f1450_09[TZER].png.min,Thresh to Zero,23,3,17,2.79345703125
780,s1331_04.png.min,No Filter,123,3,21,2.723388671875
781,s1345_06[TOZI].png.min,Thresh to Zero Invert,251,3,25,3.080322265625
782,f1447_03[TZER].png.min,Thresh to Zero,109,3,28,2.070556640625
783,f1432_03[TOZI].png.min,Thresh to Zero Invert,271,1,50,2.697021484375
784,s1452_01[BINV].png.min,Binary Invert,76,3,14,2.892578125
785,s1406_03[BINV].png.min,Binary Invert,111,3,23,1.4873046875
786,f1395_02[TZER].png.min,Thresh to Zero,103,3,28,1.88232421875
787,f1254_06[BINA].png.min,Binary,102,1,55,1.56103515625
788,s1272_01[BINA].png.min,Binary,132,2,34,2.1875
789,f1308_07.png.min,No Filter,110,2,36,2.509033203125
790,s1292_07[TOZI].png.min,Thresh to Zero Invert,151,3,34,0.5576171875
791,f1393_01[TRUC].png.min,Trunc,140,2,24,2.38818359375
792,s1413_07.png.min,No Filter,146,2,7,0.78466796875
793,s1357_05.png.min,No Filter,120,3,26,0.265380859375
794,s1259_08[BINA].png.min,Binary,67,1,53,0.880615234375
795,f1275_02[TZER].png.min,Thresh to Zero,15,4,9,2.4990234375
796,f1431_08[BINA].png.min,Binary,57,3,31,1.697509765625
797,f1399_06.png.min,No Filter,144,2,51,1.902099609375
798,f1407_04[BINV].png.min,Binary Invert,163,1,35,3.03857421875
799,s1276_01[BINA].png.min,Binary,20,3,22,1.280029296875
800,f1350_03[BINV].png.min,Binary Invert,101,1,46,1.693115234375
801,s1411_05[TRUC].png.min,Trunc,78,4,26,0.67822265625
802,s1359_03[TZER].png.min,Thresh to Zero,107,4,24,1.2001953125
803,s1263_09[TOZI].png.min,Thresh to Zero Invert,254,4,23,2.304443359375
804,f1344_09[TRUC].png.min,Trunc,167,3,27,0.657958984375
805,s1338_03[BINA].png.min,Binary,28,5,1,1.659912109375
806,s1465_01[TOZI].png.min,Thresh to Zero Invert,255,3,35,2.614501953125
807,s1497_03[TRUC].png.min,Trunc,161,3,25,0.53759765625
808,s1381_01[TZER].png.min,Thresh to Zero,93,4,23,1.5400390625
809,f1393_01[BINV].png.min,Binary Invert,160,3,46,2.627197265625
810,s1262_01[BINV].png.min,Binary Invert,11,2,17,2.043701171875
811,f1292_07.png.min,No Filter,155,3,26,2.783935546875
812,f1418_10.png.min,No Filter,115,2,41,1.466064453125
813,f1367_02[TOZI].png.min,Thresh to Zero Invert,199,3,38,1.21337890625
814,f1401_06[TZER].png.min,Thresh to Zero,78,3,36,2.1611328125
815,f1472_08[BINV].png.min,Binary Invert,89,1,43,1.04541015625
816,f1393_01.png.min,No Filter,162,1,49,0.821044921875
817,f1394_07[BINV].png.min,Binary Invert,97,3,42,1.596923828125
818,s1349_04[TRUC].png.min,Trunc,118,1,55,2.50244140625
819,f1339_04[TOZI].png.min,Thresh to Zero Invert,233,2,19,1.568359375
820,f1355_05[BINV].png.min,Binary Invert,93,5,15,3.117431640625
821,s1493_08.png.min,No Filter,126,3,32,2.91357421875
822,s1255_07[BINV].png.min,Binary Invert,90,2,21,2.66748046875
823,f1399_06[BINA].png.min,Binary,104,1,18,1.85595703125
824,f1478_07[TOZI].png.min,Thresh to Zero Invert,197,1,49,2.173828125
825,f1480_02.png.min,No Filter,111,4,22,2.61474609375
826,s1458_04[TZER].png.min,Thresh to Zero,39,3,17,1.298828125
827,f1468_09[TOZI].png.min,Thresh to Zero Invert,330,1,47,2.347412109375
828,s1269_04[TZER].png.min,Thresh to Zero,77,3,21,2.71337890625
829,f1351_05.png.min,No Filter,156,2,25,2.283447265625
830,f1449_07.png.min,No Filter,107,1,45,1.59033203125
831,f1301_05.png.min,No Filter,110,5,8,1.280029296875
832,s1251_03[TZER].png.min,Thresh to Zero,77,1,52,2.464599609375
833,s1349_04[TZER].png.min,Thresh to Zero,101,4,18,1.654541015625
834,f1438_09.png.min,No Filter,158,2,25,2.146240234375
835,s1281_08[TRUC].png.min,Trunc,120,5,20,2.436767578125
836,f1368_06[TOZI].png.min,Thresh to Zero Invert,269,2,53,2.8701171875
837,s1422_06[TRUC].png.min,Trunc,107,3,31,1.40771484375
838,s1300_08[TZER].png.min,Thresh to Zero,5,3,27,2.2041015625
839,f1449_07[BINV].png.min,Binary Invert,61,3,29,2.585693359375
840,s1391_10[TRUC].png.min,Trunc,133,5,29,2.2890625
841,f1266_08[BINA].png.min,Binary,33,2,41,0.620849609375
842,f1362_01.png.min,No Filter,161,5,12,2.68798828125
843,s1372_04.png.min,No Filter,130,3,30,1.526123046875
844,s1253_03[TRUC].png.min,Trunc,95,2,8,1.535888671875
845,s1499_01.png.min,No Filter,167,3,43,2.090087890625
846,s1348_01[BINV].png.min,Binary Invert,54,5,9,2.597900390625
847,f1422_06[TOZI].png.min,Thresh to Zero Invert,279,2,38,2.90673828125
848,f1439_01[BINA].png.min,Binary,119,3,44,1.93115234375
849,f1260_04.png.min,No Filter,115,3,34,1.242919921875
850,f1487_04[TOZI].png.min,Thresh to Zero Invert,285,2,54,0.150634765625
851,f1459_09[BINV].png.min,Binary Invert,75,3,17,1.474609375
852,s1262_01[TZER].png.min,Thresh to Zero,4,1,47,0.533447265625
853,s1262_01[TOZI].png.min,Thresh to Zero Invert,222,5,15,2.187744140625
854,s1427_10[BINV].png.min,Binary Invert,47,1,51,0.095458984375
855,f1358_09[BINV].png.min,Binary Invert,93,4,24,1.355224609375
856,s1305_06[TRUC].png.min,Trunc,103,3,30,1.95947265625
857,s1277_08[BINA].png.min,Binary,90,2,15,2.48876953125
858,s1371_08[TRUC].png.min,Trunc,157,2,25,0.39404296875
859,s1447_03[TRUC].png.min,Trunc,98,3,24,2.906005859375
860,s1461_07[BINA].png.min,Binary,141,3,20,1.45654296875
861,s1347_09[TZER].png.min,Thresh to Zero,100,5,14,0.506103515625
862,s1334_08[TZER].png.min,Thresh to Zero,119,5,18,1.608642578125
863,f1371_08[TRUC].png.min,Trunc,106,3,17,2.567626953125
864,f1252_07[TRUC].png.min,Trunc,24,5,11,2.793212890625
865,s1387_02[TRUC].png.min,Trunc,47,1,50,1.183349609375
866,f1482_03[TZER].png.min,Thresh to Zero,35,3,34,2.70263671875
867,s1383_03[BINV].png.min,Binary Invert,46,1,33,1.533935546875
868,f1367_02[BINV].png.min,Binary Invert,53,3,12,2.1943359375
869,s1261_07.png.min,No Filter,132,4,17,1.958251953125
870,s1274_04[BINA].png.min,Binary,111,4,26,2.1875
871,f1401_06[TRUC].png.min,Trunc,99,3,42,1.795166015625
872,f1362_01[TRUC].png.min,Trunc,171,3,43,1.90380859375
873,f1412_04.png.min,No Filter,98,2,44,2.161376953125
874,s1416_06.png.min,No Filter,161,3,49,1.0322265625
875,f1360_02[BINV].png.min,Binary Invert,49,2,32,1.59375
876,s1375_02[TRUC].png.min,Trunc,112,1,38,2.542724609375
877,s1459_09[TOZI].png.min,Thresh to Zero Invert,217,3,24,1.94580078125
878,f1412_04[TZER].png.min,Thresh to Zero,91,5,15,1.689208984375
879,s1473_08[BINA].png.min,Binary,99,3,45,2.66455078125
880,f1260_04[BINA].png.min,Binary,8,5,2,1.60302734375
881,s1343_09[BINV].png.min,Binary Invert,118,5,3,2.427490234375
882,f1275_02[TOZI].png.min,Thresh to Zero Invert,183,2,28,0.7255859375
883,s1492_09[BINA].png.min,Binary,36,3,27,2.289794921875
884,f1369_07[TRUC].png.min,Trunc,136,2,38,2.95361328125
885,f1376_08.png.min,No Filter,118,3,18,1.529541015625
886,f1435_09[BINV].png.min,Binary Invert,35,4,24,1.847412109375
887,f1343_09.png.min,No Filter,128,3,34,0.9658203125
888,s1454_08[TRUC].png.min,Trunc,133,3,43,0.058837890625
889,f1296_07[BINA].png.min,Binary,57,2,20,2.864013671875
890,f1325_03.png.min,No Filter,115,2,21,0.32373046875
891,s1491_06[BINA].png.min,Binary,88,3,44,2.416259765625
892,f1372_04[BINA].png.min,Binary,77,3,29,2.8837890625
893,f1267_05.png.min,No Filter,128,2,50,2.580810546875
894,s1348_01[TRUC].png.min,Trunc,118,2,22,0.65283203125
895,f1322_09[BINA].png.min,Binary,51,3,30,0.953857421875
896,f1427_10[BINA].png.min,Binary,76,1,51,2.174560546875
897,f1417_02[BINV].png.min,Binary Invert,102,5,25,0.827392578125
898,f1310_09[BINA].png.min,Binary,87,4,14,1.93212890625
899,s1383_03[BINA].png.min,Binary,66,3,32,2.71826171875
900,s1268_02.png.min,No Filter,130,4,36,1.123291015625
901,s1255_07[TOZI].png.min,Thresh to Zero Invert,243,1,51,2.427490234375
902,s1446_03[BINV].png.min,Binary Invert,97,3,36,1.51025390625
903,s1380_02[TRUC].png.min,Trunc,3,3,39,2.164306640625
904,s1302_02[TZER].png.min,Thresh to Zero,101,2,49,1.9541015625
905,s1355_05[TZER].png.min,Thresh to Zero,132,3,36,2.29052734375
906,s1346_05[TOZI].png.min,Thresh to Zero Invert,185,4,30,0.566650390625
907,s1296_07[TZER].png.min,Thresh to Zero,5,2,13,2.833251953125
908,s1287_02.png.min,No Filter,121,3,36,2.531005859375
909,f1370_05[TRUC].png.min,Trunc,76,4,28,2.03857421875
910,f1257_04.png.min,No Filter,114,2,46,1.251220703125
911,f1375_02.png.min,No Filter,105,3,30,2.53662109375
912,s1314_02[TOZI].png.min,Thresh to Zero Invert,322,2,28,1.50146484375
913,s1363_08[TOZI].png.min,Thresh to Zero Invert,291,2,31,1.510498046875
914,s1339_04[TOZI].png.min,Thresh to Zero Invert,330,3,39,1.744384765625
915,f1479_10[TZER].png.min,Thresh to Zero,32,3,33,2.565673828125
916,f1390_07[TOZI].png.min,Thresh to Zero Invert,194,5,2,2.74560546875
917,f1433_07[TZER].png.min,Thresh to Zero,35,2,38,2.148193359375
918,s1370_05[TRUC].png.min,Trunc,131,2,38,0.69091796875
919,s1332_10[BINV].png.min,Binary Invert,53,3,19,0.05322265625
920,s1475_09[TRUC].png.min,Trunc,106,2,38,2.390380859375
921,f1276_01[BINA].png.min,Binary,102,1,47,2.861572265625
922,f1309_05[BINV].png.min,Binary Invert,57,2,43,1.659912109375
923,s1420_05[TOZI].png.min,Thresh to Zero Invert,248,3,35,2.6328125
924,s1386_01[BINV].png.min,Binary Invert,96,4,20,1.2802734375
925,f1377_08[BINA].png.min,Binary,79,4,15,0.797607421875
926,s1289_09.png.min,No Filter,112,2,44,2.65283203125
927,f1481_02[TOZI].png.min,Thresh to Zero Invert,160,4,28,1.82568359375
928,s1462_09[TRUC].png.min,Trunc,127,3,15,1.698486328125
929,s1366_06[BINV].png.min,Binary Invert,81,3,19,2.774169921875
930,f1274_04[TZER].png.min,Thresh to Zero,120,5,14,1.30712890625
931,s1440_05[TOZI].png.min,Thresh to Zero Invert,159,2,34,1.114990234375
932,s1257_04[TZER].png.min,Thresh to Zero,86,4,7,2.1826171875
933,f1384_07[BINV].png.min,Binary Invert,93,2,20,3.1484375
934,s1433_07[TRUC].png.min,Trunc,91,3,40,0.443603515625
935,s1460_06[TOZI].png.min,Thresh to Zero Invert,254,3,35,1.397705078125
936,s1344_09[BINA].png.min,Binary,108,2,45,1.173583984375
937,s1459_09[TRUC].png.min,Trunc,99,2,49,1.91357421875
938,s1485_05[BINA].png.min,Binary,67,2,47,2.603759765625
939,f1445_10[BINA].png.min,Binary,69,3,33,1.39306640625
940,f1289_09[TRUC].png.min,Trunc,105,5,8,1.62890625
941,f1324_08[TZER].png.min,Thresh to Zero,100,3,25,0.781005859375
942,s1271_08[BINA].png.min,Binary,94,1,27,2.19677734375
943,s1418_10[BINA].png.min,Binary,72,4,15,2.12890625
944,f1261_07[TZER].png.min,Thresh to Zero,146,1,40,1.531494140625
945,f1406_03[BINV].png.min,Binary Invert,48,5,10,1.6015625
946,f1327_08.png.min,No Filter,100,2,28,2.337158203125
947,s1297_09.png.min,No Filter,201,2,36,2.402099609375
948,s1266_08[BINV].png.min,Binary Invert,111,3,18,0.9921875
949,s1376_08[BINA].png.min,Binary,31,5,2,2.2265625
950,s1319_01[TOZI].png.min,Thresh to Zero Invert,223,2,52,2.229736328125
951,s1283_03[BINA].png.min,Binary,116,1,47,1.617431640625
952,s1295_07[TZER].png.min,Thresh to Zero,86,5,2,0.896240234375
953,s1371_08[BINA].png.min,Binary,4,2,48,0.92626953125
954,s1309_05[TRUC].png.min,Trunc,111,3,46,2.46142578125
955,s1349_04[TOZI].png.min,Thresh to Zero Invert,174,4,20,1.753662109375
956,f1458_04.png.min,No Filter,104,1,45,1.073486328125
957,f1346_05[TRUC].png.min,Trunc,159,2,48,1.525390625
958,s1276_01[TZER].png.min,Thresh to Zero,19,1,47,2.509521484375
959,s1400_01[TOZI].png.min,Thresh to Zero Invert,313,2,40,1.879150390625
960,s1306_08[TZER].png.min,Thresh to Zero,88,3,32,1.295654296875
961,s1351_05[TOZI].png.min,Thresh to Zero Invert,157,2,38,2.907470703125
962,f1405_07[TZER].png.min,Thresh to Zero,82,5,11,2.85888671875
963,s1463_02[BINV].png.min,Binary Invert,111,1,53,0.343505859375
964,s1334_08.png.min,No Filter,124,4,15,2.92578125
965,s1405_07[BINV].png.min,Binary Invert,51,2,42,1.7939453125
966,s1389_08.png.min,No Filter,135,1,24,1.676513671875
967,s1278_06[TOZI].png.min,Thresh to Zero Invert,274,4,14,2.654541015625
968,s1408_03[BINV].png.min,Binary Invert,103,2,46,3.044921875
969,s1270_02[TOZI].png.min,Thresh to Zero Invert,246,1,50,2.040771484375
970,s1299_07.png.min,No Filter,154,1,49,1.5419921875
971,f1342_03[TOZI].png.min,Thresh to Zero Invert,120,2,11,1.37939453125
972,f1381_01.png.min,No Filter,109,1,54,0.817626953125
973,f1431_08[BINV].png.min,Binary Invert,72,3,26,2.9814453125
974,f1359_03[BINA].png.min,Binary,52,1,48,2.446533203125
975,s1374_04[TRUC].png.min,Trunc,119,3,11,1.144287109375
976,f1308_07[TZER].png.min,Thresh to Zero,39,2,43,0.83154296875
977,f1402_04[BINV].png.min,Binary Invert,44,5,6,0.73583984375
978,s1354_07[TZER].png.min,Thresh to Zero,104,3,53,2.283447265625
979,s1275_02.png.min,No Filter,130,2,10,1.426513671875
980,s1400_01[BINA].png.min,Binary,111,2,40,1.77392578125
981,f1433_07[BINA].png.min,Binary,38,3,41,1.197265625
982,f1307_03[TOZI].png.min,Thresh to Zero Invert,210,3,16,0.9375
983,f1465_01.png.min,No Filter,129,2,41,1.63671875
984,s1441_02.png.min,No Filter,136,3,23,1.9462890625
985,f1469_04[TRUC].png.min,Trunc,88,2,31,1.419677734375
986,f1399_06[TRUC].png.min,Trunc,138,2,31,1.378662109375
987,s1416_06[TZER].png.min,Thresh to Zero,64,2,45,0.46044921875
988,f1402_04[TOZI].png.min,Thresh to Zero Invert,269,5,11,1.09375
989,f1294_07[TOZI].png.min,Thresh to Zero Invert,252,4,12,2.67041015625
990,f1281_08[TZER].png.min,Thresh to Zero,75,5,19,1.40771484375
991,s1455_03[BINA].png.min,Binary,81,2,30,1.926025390625
992,s1263_09[BINA].png.min,Binary,29,2,43,1.91357421875
993,f1428_07[TOZI].png.min,Thresh to Zero Invert,338,5,17,0.5029296875
994,f1475_09[TZER].png.min,Thresh to Zero,52,1,47,1.227294921875
995,f1274_04[BINV].png.min,Binary Invert,85,5,7,1.144287109375
996,f1488_01[TOZI].png.min,Thresh to Zero Invert,332,3,40,1.01904296875
997,s1258_09[TOZI].png.min,Thresh to Zero Invert,187,3,31,2.488525390625
998,f1264_05[BINV].png.min,Binary Invert,108,3,39,2.75244140625
999,f1375_02[BINA].png.min,Binary,101,2,44,1.92822265625
1000,f1425_01[BINA].png.min,Binary,113,3,50,0.470458984375
1001,s1261_07[TRUC].png.min,Trunc,43,1,51,2.627685546875
1002,f1296_07[TRUC].png.min,Trunc,103,3,18,2.15087890625
1003,s1317_07[BINV].png.min,Binary Invert,116,1,52,1.727294921875
1004,s1281_08[BINA].png.min,Binary,2,1,46,2.302001953125
1005,f1490_08.png.min,No Filter,141,1,43,1.66796875
1006,s1311_06.png.min,No Filter,183,1,61,1.81689453125
1007,s1380_02[TOZI].png.min,Thresh to Zero Invert,62,1,49,2.838134765625
1008,s1333_08[TZER].png.min,Thresh to Zero,88,2,38,1.489990234375
1009,f1399_06[BINV].png.min,Binary Invert,103,1,50,1.45654296875
1010,s1285_08[BINV].png.min,Binary Invert,97,2,56,2.186767578125
1011,f1287_02[BINV].png.min,Binary Invert,78,5,16,0.4248046875
1012,f1323_03[BINA].png.min,Binary,98,2,34,2.46875
1013,s1314_02[TZER].png.min,Thresh to Zero,73,5,11,2.730224609375
1014,s1304_06[TZER].png.min,Thresh to Zero,42,1,60,1.3828125
1015,s1305_06[BINV].png.min,Binary Invert,67,2,54,2.322021484375
1016,f1421_04[BINA].png.min,Binary,128,2,35,2.98681640625
1017,f1280_04[TRUC].png.min,Trunc,54,1,46,2.615478515625
1018,f1384_07[BINA].png.min,Binary,94,2,34,0.883056640625
1019,s1388_08[TOZI].png.min,Thresh to Zero Invert,206,2,34,2.317138671875
1020,f1251_03[TRUC].png.min,Trunc,99,5,8,2.047607421875
1021,f1460_06[TZER].png.min,Thresh to Zero,111,3,30,1.11767578125
1022,s1281_08[BINV].png.min,Binary Invert,3,2,18,2.889892578125
1023,f1478_07[BINV].png.min,Binary Invert,29,4,22,1.52392578125
1024,f1259_08[TOZI].png.min,Thresh to Zero Invert,240,1,41,1.935791015625
1025,s1383_03[TOZI].png.min,Thresh to Zero Invert,68,3,38,0.06494140625
1026,f1473_08[TOZI].png.min,Thresh to Zero Invert,212,2,41,2.8876953125
1027,s1350_03.png.min,No Filter,83,3,53,0.91748046875
1028,f1436_09[BINA].png.min,Binary,77,5,15,2.022216796875
1029,s1406_03[TOZI].png.min,Thresh to Zero Invert,141,4,13,1.764404296875
1030,s1327_08.png.min,No Filter,129,2,35,2.03857421875
1031,s1402_04[BINA].png.min,Binary,84,2,34,2.270751953125
1032,f1482_03[BINA].png.min,Binary,29,3,20,0.860107421875
1033,f1400_01.png.min,No Filter,126,3,30,2.3515625
1034,s1365_07[TRUC].png.min,Trunc,83,3,12,1.471435546875
1035,s1399_06[TOZI].png.min,Thresh to Zero Invert,235,1,50,2.303466796875
1036,f1277_08[TZER].png.min,Thresh to Zero,105,5,4,2.01806640625
1037,f1480_02[TRUC].png.min,Trunc,33,1,16,2.07568359375
1038,s1459_09[TZER].png.min,Thresh to Zero,64,4,10,1.431396484375
1039,f1387_02[TOZI].png.min,Thresh to Zero Invert,120,3,35,2.322021484375
1040,s1271_08[TOZI].png.min,Thresh to Zero Invert,224,4,12,0.783935546875
1041,s1433_07[BINA].png.min,Binary,14,2,33,0.65625
1042,s1252_07[BINA].png.min,Binary,38,2,30,2.42431640625
1043,s1391_10[BINV].png.min,Binary Invert,68,3,18,1.63134765625
1044,f1308_07[TOZI].png.min,Thresh to Zero Invert,184,3,21,2.067626953125
1045,s1298_05[TRUC].png.min,Trunc,112,4,26,2.189453125
1046,s1312_10[TOZI].png.min,Thresh to Zero Invert,209,3,31,2.069091796875
1047,s1439_01.png.min,No Filter,106,5,11,1.66796875
1048,f1275_02.png.min,No Filter,124,3,25,1.998291015625
1049,s1429_06[TZER].png.min,Thresh to Zero,63,3,23,2.6220703125
1050,s1407_04[TZER].png.min,Thresh to Zero,125,5,14,2.427001953125
1051,f1425_01[TOZI].png.min,Thresh to Zero Invert,277,2,43,2.394287109375
1052,s1257_04[TRUC].png.min,Trunc,101,3,47,1.677978515625
1053,s1328_01[TZER].png.min,Thresh to Zero,49,1,61,1.745849609375
1054,f1316_09[TZER].png.min,Thresh to Zero,74,1,49,1.97412109375
1055,s1312_10[TRUC].png.min,Trunc,163,3,33,2.58935546875
1056,f1412_04[TOZI].png.min,Thresh to Zero Invert,39,5,1,0.218017578125
1057,s1274_04[BINV].png.min,Binary Invert,112,1,35,1.94091796875
1058,s1291_09[TZER].png.min,Thresh to Zero,94,4,21,3.106689453125
1059,s1283_03[TZER].png.min,Thresh to Zero,128,3,26,2.218994140625
1060,s1340_01[TZER].png.min,Thresh to Zero,139,3,43,2.605712890625
1061,f1255_07[BINA].png.min,Binary,89,2,34,1.275146484375
1062,s1303_10[BINV].png.min,Binary Invert,3,1,37,2.130126953125
1063,s1330_03[TOZI].png.min,Thresh to Zero Invert,156,1,55,3.018310546875
1064,f1291_09[BINA].png.min,Binary,97,2,50,1.3984375
1065,s1498_03[TRUC].png.min,Trunc,115,2,38,2.646484375
1066,s1484_02[TZER].png.min,Thresh to Zero,86,3,38,1.2001953125
1067,f1280_04.png.min,No Filter,151,1,45,1.71923828125
1068,s1477_07[BINA].png.min,Binary,93,5,15,2.533203125
1069,f1366_06[BINV].png.min,Binary Invert,63,3,44,1.466552734375
1070,f1402_04.png.min,No Filter,162,2,47,1.404541015625
1071,s1380_02[TZER].png.min,Thresh to Zero,83,3,39,1.5908203125
1072,f1498_03.png.min,No Filter,135,2,42,3.01953125
1073,f1440_05[BINA].png.min,Binary,101,2,38,1.359619140625
1074,f1293_06[TRUC].png.min,Trunc,155,4,17,2.3603515625
1075,f1407_04[TOZI].png.min,Thresh to Zero Invert,241,2,40,2.322021484375
1076,f1427_10[BINV].png.min,Binary Invert,105,3,23,1.11328125
1077,f1310_09[TOZI].png.min,Thresh to Zero Invert,65,3,24,2.23828125
1078,f1497_03[BINV].png.min,Binary Invert,160,5,6,2.039306640625
1079,s1326_07.png.min,No Filter,146,5,6,1.13818359375
1080,s1384_07[BINV].png.min,Binary Invert,46,3,24,2.7900390625
1081,f1263_09[TZER].png.min,Thresh to Zero,68,3,24,2.81689453125
1082,f1356_02.png.min,No Filter,87,5,6,2.058349609375
1083,f1413_07[TRUC].png.min,Trunc,95,3,31,1.663330078125
1084,s1405_07.png.min,No Filter,115,3,7,1.06396484375
1085,f1453_07.png.min,No Filter,114,5,17,0.2900390625
1086,s1279_08[TZER].png.min,Thresh to Zero,87,4,11,0.916015625
1087,f1291_09[BINV].png.min,Binary Invert,104,2,45,2.625244140625
1088,f1274_04[TOZI].png.min,Thresh to Zero Invert,128,2,32,2.662353515625
1089,f1447_03.png.min,No Filter,98,3,38,1.82763671875
1090,f1298_05[TZER].png.min,Thresh to Zero,47,2,14,2.25634765625
1091,s1286_04[TZER].png.min,Thresh to Zero,2,2,54,2.677978515625
1092,f1369_07[BINA].png.min,Binary,73,3,9,2.902099609375
1093,s1492_09[TZER].png.min,Thresh to Zero,122,3,26,2.884765625
1094,s1419_05[TRUC].png.min,Trunc,58,3,35,1.080322265625
1095,s1424_10[TRUC].png.min,Trunc,125,2,23,3.0078125
1096,s1346_05[TZER].png.min,Thresh to Zero,29,2,29,2.70166015625
1097,f1266_08[TZER].png.min,Thresh to Zero,39,5,2,2.4873046875
1098,f1459_09[TOZI].png.min,Thresh to Zero Invert,325,3,29,0.9208984375
1099,s1398_03.png.min,No Filter,116,1,46,2.323486328125
1100,f1329_10[BINV].png.min,Binary Invert,15,1,52,2.736328125
1101,s1396_07[BINV].png.min,Binary Invert,92,2,53,2.03857421875
1102,f1455_03[TZER].png.min,Thresh to Zero,76,1,24,1.291259765625
1103,f1394_07[TRUC].png.min,Trunc,97,5,42,2.716552734375
1104,f1402_04[TRUC].png.min,Trunc,160,4,18,2.835205078125
1105,s1365_07[TOZI].png.min,Thresh to Zero Invert,251,5,0,1.340087890625
1106,f1486_03[TZER].png.min,Thresh to Zero,78,3,38,2.95166015625
1107,f1423_10[TOZI].png.min,Thresh to Zero Invert,236,3,31,2.830322265625
1108,f1359_03[TOZI].png.min,Thresh to Zero Invert,318,5,9,1.37255859375
1109,s1424_10[TOZI].png.min,Thresh to Zero Invert,271,2,36,2.172119140625
1110,s1452_01[TRUC].png.min,Trunc,84,5,16,0.90673828125
1111,s1468_09[TRUC].png.min,Trunc,93,2,41,0.721435546875
1112,s1431_08[TOZI].png.min,Thresh to Zero Invert,274,2,22,2.459228515625
1113,f1367_02[TZER].png.min,Thresh to Zero,44,1,39,0.1171875
1114,f1489_04[TRUC].png.min,Trunc,146,3,42,2.00146484375
1115,s1285_08.png.min,No Filter,132,1,49,2.03125
1116,s1427_10[TOZI].png.min,Thresh to Zero Invert,251,5,12,1.304931640625
1117,f1399_06[TOZI].png.min,Thresh to Zero Invert,250,3,30,2.4296875
1118,f1302_02[TOZI].png.min,Thresh to Zero Invert,160,1,41,0.791748046875
1119,s1431_08[TZER].png.min,Thresh to Zero,59,2,41,2.261474609375
1120,s1439_01[TZER].png.min,Thresh to Zero,100,3,15,1.76025390625
1121,f1418_10[TOZI].png.min,Thresh to Zero Invert,233,3,39,0.252197265625
1122,s1338_03[TRUC].png.min,Trunc,92,1,42,1.3818359375
1123,s1454_08[TZER].png.min,Thresh to Zero,31,2,16,2.924072265625
1124,f1351_05[TZER].png.min,Thresh to Zero,131,5,8,2.682861328125
1125,s1496_10[TZER].png.min,Thresh to Zero,63,4,19,2.786865234375
1126,f1362_01[BINV].png.min,Binary Invert,153,1,59,1.453369140625
1127,s1447_03[BINV].png.min,Binary Invert,127,3,15,3.107666015625
1128,s1321_06[TOZI].png.min,Thresh to Zero Invert,211,3,30,0.97314453125
1129,s1344_09[BINV].png.min,Binary Invert,121,2,42,3.04296875
1130,s1286_04[TOZI].png.min,Thresh to Zero Invert,147,4,22,0.422607421875
1131,f1420_05[TRUC].png.min,Trunc,115,2,29,0.465087890625
1132,s1426_02[TOZI].png.min,Thresh to Zero Invert,240,3,27,2.15966796875
