,nome,filtro,minucias,nfiq,nfiq2
112,s0298_06.png.min,No Filter,130,4,23
113,f0375_02[BINV].png.min,Binary Invert,120,3,34
114,s0298_06[BINV].png.min,Binary Invert,93,3,55
115,f0425_07.png.min,No Filter,84,2,45
116,s0489_04[BINV].png.min,Binary Invert,109,2,50
117,s0316_03.png.min,No Filter,128,4,19
118,f0292_04.png.min,No Filter,146,2,53
119,s0260_02[BINV].png.min,Binary Invert,74,3,23
120,f0354_05.png.min,No Filter,156,2,56
121,f0330_08[TOZI].png.min,Thresh to Zero Invert,150,3,8
122,s0261_01[TZER].png.min,Thresh to Zero,96,3,41
123,s0404_08[TOZI].png.min,Thresh to Zero Invert,237,2,44
124,s0488_10[BINV].png.min,Binary Invert,44,4,21
125,s0482_08.png.min,No Filter,114,2,42
126,s0262_05[BINV].png.min,Binary Invert,86,3,23
127,f0267_07.png.min,No Filter,139,1,36
128,f0299_06.png.min,No Filter,136,3,49
129,s0269_01[TZER].png.min,Thresh to Zero,2,5,3
130,f0401_08[BINA].png.min,Binary,81,5,11
131,s0430_10[BINA].png.min,Binary,88,5,3
132,f0455_04.png.min,No Filter,107,2,56
133,f0373_09[TOZI].png.min,Thresh to Zero Invert,116,5,6
134,f0398_03[TZER].png.min,Thresh to Zero,40,3,32
135,f0491_05[TOZI].png.min,Thresh to Zero Invert,225,4,21
136,f0329_09[BINA].png.min,Binary,112,3,33
137,s0464_06.png.min,No Filter,134,5,14
138,s0376_01[TOZI].png.min,Thresh to Zero Invert,257,2,56
139,s0364_03[TOZI].png.min,Thresh to Zero Invert,237,2,15
140,f0340_03[TRUC].png.min,Trunc,204,2,24
141,s0431_05[TOZI].png.min,Thresh to Zero Invert,170,3,37
142,f0343_09[TOZI].png.min,Thresh to Zero Invert,133,2,24
143,f0446_01[BINV].png.min,Binary Invert,139,2,45
144,s0357_07[TOZI].png.min,Thresh to Zero Invert,270,5,18
145,f0322_06[BINV].png.min,Binary Invert,103,3,27
146,s0351_08[BINA].png.min,Binary,38,2,50
147,s0305_01[BINA].png.min,Binary,84,2,43
148,f0391_01[BINA].png.min,Binary,110,2,44
149,s0323_09.png.min,No Filter,135,2,45
150,s0279_06[TRUC].png.min,Trunc,163,4,26
151,s0256_03[TRUC].png.min,Trunc,99,1,49
152,s0468_02[BINV].png.min,Binary Invert,30,4,27
153,f0376_01.png.min,No Filter,168,2,4
154,f0465_08[BINA].png.min,Binary,114,3,14
155,f0496_03.png.min,No Filter,120,1,39
156,f0326_07[TOZI].png.min,Thresh to Zero Invert,208,1,55
157,f0339_05[TOZI].png.min,Thresh to Zero Invert,190,1,54
158,s0385_07[TZER].png.min,Thresh to Zero,51,3,20
159,s0305_01[TRUC].png.min,Trunc,108,2,34
160,f0340_03[BINV].png.min,Binary Invert,105,3,15
161,s0276_09[TRUC].png.min,Trunc,133,3,26
162,f0431_05[BINV].png.min,Binary Invert,71,2,46
163,s0484_05[TOZI].png.min,Thresh to Zero Invert,180,5,13
164,f0353_03[BINV].png.min,Binary Invert,56,1,51
165,s0474_06[BINA].png.min,Binary,48,5,14
166,s0304_08[TZER].png.min,Thresh to Zero,77,1,52
167,f0253_08[TRUC].png.min,Trunc,76,5,14
168,f0331_05[BINA].png.min,Binary,65,3,32
169,s0256_03[BINV].png.min,Binary Invert,75,1,44
170,s0345_05[BINA].png.min,Binary,48,3,20
171,s0345_05[TZER].png.min,Thresh to Zero,206,3,30
172,s0388_06[BINV].png.min,Binary Invert,135,2,42
173,s0327_08[TZER].png.min,Thresh to Zero,75,4,13
174,f0321_05[BINV].png.min,Binary Invert,72,3,25
175,f0437_04[BINA].png.min,Binary,132,2,38
176,s0338_04[TOZI].png.min,Thresh to Zero Invert,188,5,22
177,s0476_09[TZER].png.min,Thresh to Zero,81,1,54
178,s0388_06[TZER].png.min,Thresh to Zero,119,4,26
179,f0474_06[TZER].png.min,Thresh to Zero,178,3,51
180,f0388_06[BINV].png.min,Binary Invert,92,3,43
181,f0309_05[TRUC].png.min,Trunc,45,4,17
182,f0316_03.png.min,No Filter,118,1,49
183,s0491_05[TRUC].png.min,Trunc,93,1,45
184,f0265_04.png.min,No Filter,142,3,22
185,s0430_10[BINV].png.min,Binary Invert,81,3,37
